Income_group,Region,Country,ISO3,Subgroup,Variable,Variable_label,Mean_Prevalence,LCI,UCI,Difference,Diff_LCI,Diff_UCI,Diff_p
L,AS,Afghanistan,AFG,All,all5,NA,0.14,0.11,0.18,NA,NA,NA,NA
LM,FSU,Kyrgyzstan,KGZ,All,DQQ13,NA,0.46,0.41,0.5,NA,NA,NA,NA
LM,FSU,Kyrgyzstan,KGZ,All,all5,NA,0.41,0.37,0.45,NA,NA,NA,NA
UM,EU,Albania,ALB,All,DQQ13,NA,0.6,0.56,0.64,NA,NA,NA,NA
UM,EU,Albania,ALB,All,all5,NA,0.52,0.48,0.56,NA,NA,NA,NA
UM,FSU,Armenia,ARM,All,DQQ13,NA,0.47,0.43,0.52,NA,NA,NA,NA
UM,FSU,Armenia,ARM,All,all5,NA,0.46,0.41,0.5,NA,NA,NA,NA
LM,AM,Honduras,HND,All,DQQ13,NA,0.73,0.69,0.76,NA,NA,NA,NA
LM,AM,Honduras,HND,All,all5,NA,0.41,0.37,0.46,NA,NA,NA,NA
LM,MENA,Tunisia,TUN,All,DQQ13,NA,0.7,0.66,0.74,NA,NA,NA,NA
LM,MENA,Tunisia,TUN,All,all5,NA,0.46,0.43,0.5,NA,NA,NA,NA
LM,FSU,Uzbekistan,UZB,All,DQQ13,NA,0.52,0.48,0.56,NA,NA,NA,NA
LM,FSU,Uzbekistan,UZB,All,all5,NA,0.49,0.44,0.53,NA,NA,NA,NA
L,SSA,Mali,MLI,All,DQQ13,NA,0.18,0.15,0.21,NA,NA,NA,NA
L,SSA,Mali,MLI,All,all5,NA,0.32,0.28,0.37,NA,NA,NA,NA
L,SSA,Niger,NER,All,DQQ13,NA,0.1,0.07,0.13,NA,NA,NA,NA
L,SSA,Niger,NER,All,all5,NA,0.15,0.12,0.18,NA,NA,NA,NA
LM,SSA,Zimbabwe,ZWE,All,DQQ13,NA,0.28,0.24,0.32,NA,NA,NA,NA
LM,SSA,Zimbabwe,ZWE,All,all5,NA,0.18,0.15,0.21,NA,NA,NA,NA
UM,FSU,Azerbaijan,AZE,All,DQQ13,NA,0.53,0.48,0.58,NA,NA,NA,NA
UM,FSU,Azerbaijan,AZE,All,all5,NA,0.36,0.31,0.41,NA,NA,NA,NA
L,SSA,Chad,TCD,All,DQQ13,NA,0.13,0.09,0.17,NA,NA,NA,NA
L,SSA,Chad,TCD,All,all5,NA,0.26,0.21,0.31,NA,NA,NA,NA
L,MENA,Yemen,YEM,All,DQQ13,NA,0.45,0.4,0.49,NA,NA,NA,NA
L,MENA,Yemen,YEM,All,all5,NA,0.23,0.19,0.28,NA,NA,NA,NA
