Income_group,Region,Country,ISO3,Subgroup,Variable,Variable_label,Mean_Prevalence,LCI,UCI,Difference,Diff_LCI,Diff_UCI,Diff_p
UM,FSU,Armenia,ARM,All,fgds,NA,6.31,6.15,6.47,NA,NA,NA,NA
LM,AM,Honduras,HND,All,gdr,NA,9.38,9.2,9.56,NA,NA,NA,NA
LM,AM,Honduras,HND,All,fgds,NA,5.86,5.66,6.06,NA,NA,NA,NA
LM,MENA,Tunisia,TUN,All,gdr,NA,10.26,10.11,10.41,NA,NA,NA,NA
LM,MENA,Tunisia,TUN,All,fgds,NA,6.68,6.51,6.86,NA,NA,NA,NA
LM,FSU,Uzbekistan,UZB,All,gdr,NA,9.22,9.05,9.38,NA,NA,NA,NA
LM,FSU,Uzbekistan,UZB,All,fgds,NA,6.62,6.47,6.77,NA,NA,NA,NA
L,SSA,Mali,MLI,All,gdr,NA,10.74,10.57,10.92,NA,NA,NA,NA
L,SSA,Mali,MLI,All,fgds,NA,5.16,4.92,5.39,NA,NA,NA,NA
L,SSA,Niger,NER,All,gdr,NA,10.55,10.37,10.73,NA,NA,NA,NA
L,SSA,Niger,NER,All,fgds,NA,3.89,3.62,4.16,NA,NA,NA,NA
LM,SSA,Zimbabwe,ZWE,All,gdr,NA,10.75,10.55,10.95,NA,NA,NA,NA
LM,SSA,Zimbabwe,ZWE,All,fgds,NA,4.68,4.51,4.85,NA,NA,NA,NA
UM,FSU,Azerbaijan,AZE,All,gdr,NA,9.89,9.72,10.06,NA,NA,NA,NA
UM,FSU,Azerbaijan,AZE,All,fgds,NA,5.98,5.76,6.2,NA,NA,NA,NA
L,SSA,Chad,TCD,All,gdr,NA,10.9,10.71,11.09,NA,NA,NA,NA
L,SSA,Chad,TCD,All,fgds,NA,4.99,4.68,5.31,NA,NA,NA,NA
L,MENA,Yemen,YEM,All,gdr,NA,10.85,10.66,11.04,NA,NA,NA,NA
L,MENA,Yemen,YEM,All,fgds,NA,5.04,4.79,5.29,NA,NA,NA,NA
