Income_group,Region,Country,ISO3,Subgroup,Variable,Variable_label,Mean_Prevalence,LCI,UCI,Difference,Diff_LCI,Diff_UCI,Diff_p
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UM,MENA,Jordan,JOR,All,gdr,NA,9.5,9.35,9.66,NA,NA,NA,NA
UM,MENA,Jordan,JOR,All,fgds,NA,5.04,4.89,5.19,NA,NA,NA,NA
H,AM,United States,USA,All,gdr,NA,9.54,9.39,9.69,NA,NA,NA,NA
H,AM,United States,USA,All,fgds,NA,6.49,6.39,6.6,NA,NA,NA,NA
L,MENA,Turkey,TUR,All,gdr,NA,11.22,11.04,11.39,NA,NA,NA,NA
L,MENA,Turkey,TUR,All,fgds,NA,6.41,6.23,6.58,NA,NA,NA,NA
L,AS,Pakistan,PAK,All,gdr,NA,10.8,10.63,10.96,NA,NA,NA,NA
L,AS,Pakistan,PAK,All,fgds,NA,4.97,4.74,5.2,NA,NA,NA,NA
LM,AS,Indonesia,IDN,All,gdr,NA,10.55,10.34,10.77,NA,NA,NA,NA
LM,AS,Indonesia,IDN,All,fgds,NA,6.81,6.6,7.03,NA,NA,NA,NA
LM,AS,Bangladesh,BGD,All,gdr,NA,10.39,10.25,10.53,NA,NA,NA,NA
LM,AS,Bangladesh,BGD,All,fgds,NA,4.79,4.64,4.93,NA,NA,NA,NA
UM,AS,China,CHN,All,gdr,NA,11.22,11.11,11.34,NA,NA,NA,NA
UM,AS,China,CHN,All,fgds,NA,6.64,6.53,6.75,NA,NA,NA,NA
LM,AS,India,IND,All,gdr,NA,10.86,10.76,10.96,NA,NA,NA,NA
LM,AS,India,IND,All,fgds,NA,4.64,4.48,4.8,NA,NA,NA,NA
H,MENA,Israel,ISR,All,gdr,NA,9.99,9.82,10.16,NA,NA,NA,NA
H,MENA,Israel,ISR,All,fgds,NA,6.62,6.41,6.82,NA,NA,NA,NA
LM,AS,Vietnam,VNM,All,gdr,NA,10.78,10.55,11.01,NA,NA,NA,NA
LM,AS,Vietnam,VNM,All,fgds,NA,6.62,6.42,6.82,NA,NA,NA,NA
LM,AS,Cambodia,KHM,All,gdr,NA,10.04,9.88,10.21,NA,NA,NA,NA
LM,AS,Cambodia,KHM,All,fgds,NA,5.2,5.03,5.36,NA,NA,NA,NA
LM,AS,Laos,LAO,All,gdr,NA,9.84,9.64,10.05,NA,NA,NA,NA
LM,AS,Laos,LAO,All,fgds,NA,5.56,5.35,5.77,NA,NA,NA,NA
UM,FSU,Kazakhstan,KAZ,All,gdr,NA,8.63,8.44,8.82,NA,NA,NA,NA
UM,FSU,Kazakhstan,KAZ,All,fgds,NA,6.17,6,6.34,NA,NA,NA,NA
LM,AM,Bolivia,BOL,All,gdr,NA,11.01,10.79,11.23,NA,NA,NA,NA
LM,AM,Bolivia,BOL,All,fgds,NA,6.64,6.47,6.81,NA,NA,NA,NA
H,AM,Chile,CHL,All,gdr,NA,9.86,9.61,10.11,NA,NA,NA,NA
H,AM,Chile,CHL,All,fgds,NA,6.53,6.31,6.75,NA,NA,NA,NA
UM,AM,Ecuador,ECU,All,gdr,NA,11.02,10.84,11.21,NA,NA,NA,NA
UM,AM,Ecuador,ECU,All,fgds,NA,6.38,6.21,6.54,NA,NA,NA,NA
UM,SSA,Gabon,GAB,All,gdr,NA,9.62,9.42,9.81,NA,NA,NA,NA
UM,SSA,Gabon,GAB,All,fgds,NA,5.09,4.89,5.29,NA,NA,NA,NA
L,AS,Nepal,NPL,All,gdr,NA,10.96,10.79,11.13,NA,NA,NA,NA
L,AS,Nepal,NPL,All,fgds,NA,5.17,4.98,5.35,NA,NA,NA,NA
LM,AM,Nicaragua,NIC,All,gdr,NA,10.25,10.04,10.45,NA,NA,NA,NA
LM,AM,Nicaragua,NIC,All,fgds,NA,5.85,5.68,6.01,NA,NA,NA,NA
L,FSU,Tajikistan,TJK,All,gdr,NA,10.18,9.99,10.37,NA,NA,NA,NA
L,FSU,Tajikistan,TJK,All,fgds,NA,6.57,6.33,6.81,NA,NA,NA,NA
LM,MENA,Egypt,EGY,All,gdr,NA,10.45,10.31,10.59,NA,NA,NA,NA
LM,MENA,Egypt,EGY,All,fgds,NA,5.88,5.73,6.03,NA,NA,NA,NA
LM,SSA,Nigeria,NGA,All,gdr,NA,9.7,9.49,9.91,NA,NA,NA,NA
LM,SSA,Nigeria,NGA,All,fgds,NA,4.52,4.31,4.73,NA,NA,NA,NA
LM,SSA,Kenya,KEN,All,gdr,NA,11.41,11.22,11.6,NA,NA,NA,NA
LM,SSA,Kenya,KEN,All,fgds,NA,5.6,5.4,5.8,NA,NA,NA,NA
L,SSA,Tanzania,TZA,All,gdr,NA,10.93,10.76,11.09,NA,NA,NA,NA
L,SSA,Tanzania,TZA,All,fgds,NA,4.14,3.95,4.32,NA,NA,NA,NA
LM,SSA,Ghana,GHA,All,gdr,NA,10.5,10.32,10.68,NA,NA,NA,NA
LM,SSA,Ghana,GHA,All,fgds,NA,4.5,4.32,4.68,NA,NA,NA,NA
L,SSA,Uganda,UGA,All,gdr,NA,11.3,11.12,11.48,NA,NA,NA,NA
L,SSA,Uganda,UGA,All,fgds,NA,4.97,4.77,5.18,NA,NA,NA,NA
L,SSA,Benin,BEN,All,gdr,NA,10.64,10.49,10.78,NA,NA,NA,NA
L,SSA,Benin,BEN,All,fgds,NA,4.4,4.24,4.57,NA,NA,NA,NA
UM,SSA,South Africa,ZAF,All,gdr,NA,9.05,8.84,9.26,NA,NA,NA,NA
UM,SSA,South Africa,ZAF,All,fgds,NA,5.52,5.28,5.75,NA,NA,NA,NA
UM,AS,Sri Lanka,LKA,All,gdr,NA,11.65,11.45,11.84,NA,NA,NA,NA
UM,AS,Sri Lanka,LKA,All,fgds,NA,6.2,6.01,6.39,NA,NA,NA,NA
L,SSA,Mozambique,MOZ,All,gdr,NA,11.02,10.86,11.18,NA,NA,NA,NA
L,SSA,Mozambique,MOZ,All,fgds,NA,4.66,4.39,4.92,NA,NA,NA,NA
LM,SSA,Senegal,SEN,All,gdr,NA,10.94,10.74,11.14,NA,NA,NA,NA
LM,SSA,Senegal,SEN,All,fgds,NA,5.46,5.23,5.69,NA,NA,NA,NA
L,SSA,Burkina Faso,BFA,All,gdr,NA,10.83,10.67,10.98,NA,NA,NA,NA
L,SSA,Burkina Faso,BFA,All,fgds,NA,4.12,3.86,4.37,NA,NA,NA,NA
LM,SSA,Cameroon,CMR,All,gdr,NA,10.52,10.39,10.65,NA,NA,NA,NA
LM,SSA,Cameroon,CMR,All,fgds,NA,4.67,4.46,4.88,NA,NA,NA,NA
L,SSA,Sierra Leone,SLE,All,gdr,NA,10.81,10.71,10.91,NA,NA,NA,NA
L,SSA,Sierra Leone,SLE,All,fgds,NA,4.46,4.31,4.6,NA,NA,NA,NA
LM,MENA,Morocco,MAR,All,gdr,NA,10.87,10.7,11.04,NA,NA,NA,NA
LM,MENA,Morocco,MAR,All,fgds,NA,5.73,5.59,5.88,NA,NA,NA,NA
UM,MENA,Lebanon,LBN,All,gdr,NA,10.95,10.83,11.06,NA,NA,NA,NA
UM,MENA,Lebanon,LBN,All,fgds,NA,4.63,4.51,4.75,NA,NA,NA,NA
H,EU,Greece,GRC,All,gdr,NA,9.99,9.78,10.2,NA,NA,NA,NA
H,EU,Greece,GRC,All,fgds,NA,5.57,5.42,5.71,NA,NA,NA,NA
UM,AM,Mexico,MEX,All,gdr,NA,11.03,10.8,11.25,NA,NA,NA,NA
UM,AM,Mexico,MEX,All,fgds,NA,6.68,6.53,6.83,NA,NA,NA,NA
LM,AS,Philippines,PHL,All,gdr,NA,9.69,9.47,9.91,NA,NA,NA,NA
LM,AS,Philippines,PHL,All,fgds,NA,6.31,6.14,6.47,NA,NA,NA,NA
UM,FSU,Russia,RUS,All,gdr,NA,9.36,9.24,9.48,NA,NA,NA,NA
UM,FSU,Russia,RUS,All,fgds,NA,5.61,5.52,5.71,NA,NA,NA,NA
UM,AM,Colombia,COL,All,gdr,NA,9.9,9.7,10.09,NA,NA,NA,NA
UM,AM,Colombia,COL,All,fgds,NA,5.86,5.72,5.99,NA,NA,NA,NA
LM,MENA,Palestine,PSE,All,gdr,NA,9.14,8.97,9.3,NA,NA,NA,NA
LM,MENA,Palestine,PSE,All,fgds,NA,5.69,5.55,5.84,NA,NA,NA,NA
L,SSA,Malawi,MWI,All,gdr,NA,11.32,11.19,11.46,NA,NA,NA,NA
L,SSA,Malawi,MWI,All,fgds,NA,4.93,4.77,5.09,NA,NA,NA,NA
L,AS,Afghanistan,AFG,All,gdr,NA,10.19,10.03,10.35,NA,NA,NA,NA
L,AS,Afghanistan,AFG,All,fgds,NA,3.66,3.44,3.88,NA,NA,NA,NA
LM,FSU,Kyrgyzstan,KGZ,All,gdr,NA,9.14,8.95,9.33,NA,NA,NA,NA
LM,FSU,Kyrgyzstan,KGZ,All,fgds,NA,6.19,6.03,6.34,NA,NA,NA,NA
UM,EU,Albania,ALB,All,gdr,NA,9.68,9.46,9.9,NA,NA,NA,NA
UM,EU,Albania,ALB,All,fgds,NA,6.57,6.43,6.71,NA,NA,NA,NA
UM,FSU,Armenia,ARM,All,gdr,NA,9.37,9.17,9.58,NA,NA,NA,NA
